channel,start_position,test_type,group1,group2,f_stat,p_value,mean_diff,p_adj,lower,upper,reject
023,35,T-test (Bonferroni),Cue 12,Control,,0.23171728221737872,0.46011190601715724,1.0,,,False
023,35,T-test (Bonferroni),Cue 13,Control,,0.0826522889369624,0.6222836738265576,0.413261444684812,,,False
023,35,T-test (Bonferroni),Cue 14,Control,,0.016965987863523838,1.3682922963589057,0.08482993931761919,,,False
023,35,T-test (Bonferroni),Cue 16,Control,,0.16072546355905193,0.6539201979704026,0.8036273177952596,,,False
023,36,T-test (Bonferroni),Cue 11,Control,,0.3924968939559528,0.3044588857989603,1.0,,,False
023,36,T-test (Bonferroni),Cue 12,Control,,0.7429381560460514,0.16204893130965292,1.0,,,False
023,36,T-test (Bonferroni),Cue 13,Control,,0.8618872703502141,0.08348087348988775,1.0,,,False
023,36,T-test (Bonferroni),Cue 14,Control,,0.2707202310837692,-0.382291388112574,1.0,,,False
023,36,T-test (Bonferroni),Cue 15,Control,,0.27849587221498656,0.4306549220671645,1.0,,,False
029,31,T-test (Bonferroni),Cue 12,Control,,0.10287523199334167,0.6464833129354441,0.5143761599667084,,,False
029,31,T-test (Bonferroni),Cue 13,Control,,0.7422393638410615,-0.14615437884395344,1.0,,,False
029,31,T-test (Bonferroni),Cue 14,Control,,0.006686182046747381,0.9964541886509419,0.033430910233736906,,,True
029,31,T-test (Bonferroni),Cue 15,Control,,0.9120359970615265,-0.046010993126932576,1.0,,,False
029,31,T-test (Bonferroni),Cue 16,Control,,0.1121175142297327,0.7043219414356368,0.5605875711486635,,,False
029,32,T-test (Bonferroni),Cue 11,Control,,0.2651448679608187,0.5454117581771387,1.0,,,False
029,32,T-test (Bonferroni),Cue 13,Control,,0.232753296559765,0.635533854510445,1.0,,,False
029,32,T-test (Bonferroni),Cue 14,Control,,0.003125747203111109,1.365957876759724,0.015628736015555544,,,True
029,32,T-test (Bonferroni),Cue 15,Control,,0.027511384253328355,0.9407952354109275,0.13755692126664176,,,False
029,32,T-test (Bonferroni),Cue 16,Control,,0.8205321293902623,0.12944101076249548,1.0,,,False
029,33,T-test (Bonferroni),Cue 11,Control,,0.1516765745303501,0.605705179959064,0.7583828726517505,,,False
029,33,T-test (Bonferroni),Cue 12,Control,,0.019827417628692775,0.759039870122169,0.09913708814346388,,,False
029,33,T-test (Bonferroni),Cue 14,Control,,0.0004638280073839025,1.4078742279914511,0.0023191400369195125,,,True
029,33,T-test (Bonferroni),Cue 15,Control,,0.08011274216583038,0.5912428173263202,0.4005637108291519,,,False
029,33,T-test (Bonferroni),Cue 16,Control,,0.10844731661328331,0.7674816139522989,0.5422365830664165,,,False
029,34,T-test (Bonferroni),Cue 11,Control,,0.4912716759031487,0.3229164197337664,1.0,,,False
029,34,T-test (Bonferroni),Cue 12,Control,,0.6277901831125062,-0.20242231832759217,1.0,,,False
029,34,T-test (Bonferroni),Cue 13,Control,,0.693478068197592,0.18609833592506364,1.0,,,False
029,34,T-test (Bonferroni),Cue 15,Control,,0.024943289022224795,0.7893879606733891,0.12471644511112398,,,False
029,34,T-test (Bonferroni),Cue 16,Control,,0.5941886114957533,0.22136624237513147,1.0,,,False
029,35,T-test (Bonferroni),Cue 11,Control,,0.39022225144454903,0.3048024684324435,1.0,,,False
029,35,T-test (Bonferroni),Cue 12,Control,,0.12564594216253308,-0.5762415749843413,0.6282297108126654,,,False
029,35,T-test (Bonferroni),Cue 13,Control,,0.43553044971694976,-0.3387769968741039,1.0,,,False
029,35,T-test (Bonferroni),Cue 14,Control,,0.9742676970132416,-0.01494914361263211,1.0,,,False
029,35,T-test (Bonferroni),Cue 16,Control,,0.6226923366723309,0.28049605356851526,1.0,,,False
029,36,T-test (Bonferroni),Cue 11,Control,,0.06255968626292538,0.6985162922949133,0.3127984313146269,,,False
